,0
AMED_NONALC,0.010940854
RC,0.012008449
AS1_TOTALC,0.013177723
DASH,0.013286853
DII,0.013687422
KHEI90,0.013979905
BMI,0.014108564
HOMA_IR,0.014271939
AS1_EDUA,0.016528873
AS1_SLPAMSF,0.016891139
PRAL,0.017496143
AI,0.017722294
AS1_PHYACTL,0.01775821
AS1_SEX,0.019085314
AS1_HVSMAM,0.020626672
AS1_JOBB,0.022989586
AS1_TIED,0.023281323
AS1_INCOME,0.023487527
AS1_DRINK,0.02511488
HAS_HYPERLIPIDEMI,0.028016567
AS1_AGE,0.038009737
AS1_PHYACTM,0.04245429
AS1_SMOKEA,0.055569433
AS1_HEALTH,0.056374438
HAS_DIABETES,0.059958216
AS1_PHYACTH,0.07021547
HAS_HYPERTENSION,0.32295817
